ms,split,text,Topic,Count,t1,t2,t3,t4
003,4,سلكه في تاليفه له وهذه الندرة هي التي دعتني الي الوقوف امامه وعمل دراسة علمية عنه وعن الامام المقريزي لقد جاء هذا العمل العلمي الذي نحن بصدده الان الدراسة والتحقيق مشتملا علي قسمين القسم الاول عيارة عن دراسة وافية للامام المقريزي وكتابه اغاءة الامة بكشف الفمة وقد اشتصل هذا القسم علي ثمانية مباحث تناول المبحث الاول تشاة الامام واشتغاله ل,-1,5193,المقريزي,ابراهيم,بن,محمد
003,6,ي ت ن ا و ل,-1,5193,المقريزي,ابراهيم,بن,محمد
004,0,بالعلم والثاني عن وظاءف الامام المقريزي ومناصبه والثالث عن تقييم لمءلفاته التاريخية لا والرابع عن تسمية الكتاب واهصيته والخامس عن مصادر الكتاب وطرق الاسناد الييا والسادس عن المنهج التاريخي عند المقريزي والسابع عن النقد التاريخي عند الامام المقريزي والثامن عن وصف المخطوطة المعتمدة في التحقيق وعملي في هذا التحقيق اما القسم الثاني فهو تحقيق كتاب اغاءة الامة بكشف الغمة وقق,-1,5193,المقريزي,ابراهيم,بن,محمد
004,1,منهج علمي اجمع عليه كثير من المحققين لكتب التراث ثم ختمت هذا العمل العلمي بعصل العديد من الفهارس العلمية التي تخدم هذا العمل وتخدم الباحث والقارء فجاءت علي النحو التالي فهرس الايات القرانية والاحاديث النبوية والاعلام والاماكن والبلدان والاوزان والنقود والمحاصيل والكتب المستخدمة في الدراسة والتحقيق وفهرس الموضوعات وقي نهاية مقدمتي هذه احتسب هذا العمل عند الله عز وجل واساله,-1,5193,المقريزي,ابراهيم,بن,محمد
004,2,سيحانه وتعالي ان يعلمني ما ينفعني وان ينفعني بما علمني واساله سبحانه وتعالي ان يحفظ مصر واهلها من كل سوء وان يجعلها امنة مطمءتة وساءر بلاد المسلمين امين و كرم حلي فرحات احمد رفع بر لحم النحبري اكن اللمراالفردوش القسم الاول دراسةالمولفوكنابه اخاتةالامةبكشف الضملة ال المبحق الاول نشاة المقريزي واشتغاله بالعلم االمبح الثاني وظاءف المقريزي ومناصبه المبحث الثالث مءلفات المقريزي,-1,5193,المقريزي,ابراهيم,بن,محمد
004,3,المبحق الرابع تسمية الكتاب واهميته اليه الختامس مصادر الكتاب وطرق الاسناد اليها المبحق السادس منهج التاليف التاريخي عند المقريزي الميحد السابع النقد التاريخي عند المقريزي المبنحت الفامن وصف المخطوطة والعمل في التحقيق ف برالحم النعجري اكن اللم الفردوس المبحث الاول فشاةالمشرينيواشتغالهبالعلم اسه وكنيته وتسبته ولقيه هو احمد بن علي بن عبد القادر بن محمد بن ايراهيم بن محمد بن قيم,-1,5193,المقريزي,ابراهيم,بن,محمد
004,6,ب ا ل ع ل م,-1,5193,المقريزي,ابراهيم,بن,محمد
005,2,م اتظر الحتطط المقريزية للامام المقريزي طبعة القاهرة ه وطبعة مكتبة العرفان ييروت پلون تاريخ القد نشا المقريزي نشاة طيبة في بيثة حضارية لها طابعها الذي يختلف كثيرا عن الييثة التي عاش فيها اجداده في مديتة بعليك ولكن الامام المقريزي كان يعتز داءعا ويفخر باته ولد بين جتبات القاهرة وفي حي من اكثر احياءها امتلاء بالتشاط والحيوية ومملوءا بالنشاط الاجتماعي والاقتصادي,-1,5193,المقريزي,ابراهيم,بن,محمد
006,1,زاوية ابناء الفءة الفكرية من الطيقة الوسطي هذه الحوادث في مجموعها نويات احتضار واقول في دولة ملوكية ذات بطولات شامخة سالفة وامجاد ماضية ملات عين التاريخ في الشرق والغرب ولعشرين سنة هي سنوات طفولته ومراهقته وشبابه شير انه توقي سنة ه الخطط المقريزية للمقريزي طيعة بولاق رحلة ابن بطوطة لابي عبد الله اللواتي المعروف باين يطوطة ص طيعة دار صادر,-1,5193,المقريزي,ابراهيم,بن,محمد
007,4,سنة ه وتوفي ستة ه تخصص في التاريخ وترك يه عددا وافرا من المءلفات عالج فيها التاريخ السياسي والتراجم والسير علي السواء من كتيه الاتتصار لواسطة عقد الامصار الذي يحمل معلومات عامة عن مصر تاريخية وجغرافية معا الاعلان بالتربيخ للسخاوي ص طبعة العلمي بيروت شذرات الذهب لابن العماد الحنبلي انياء الهصر في ابناء العصر لاين الصيرفي علي بن ادهم بن,-1,5193,المقريزي,ابراهيم,بن,محمد
007,6,و م ن,-1,5193,المقريزي,ابراهيم,بن,محمد
008,0,ابراهيمت ه المعروف باين اخطيب الجوهري تحقيق حن حيشي دار الفكر المربي مصر م والتجوم الزاهرة لاين تغري پردي الضوء اللامع للسخاوي وحسن المحاضرة لليوطي التاريخ العريي والمءرخون لشاكر مصطفي ابن خلدون عبد الرحمن بن محمد بن محمد بن الحسن بن عبد الرحمن بن خلدون وقد عرفه المقريزي في مرحلة النضج وكان اكثر شيوخه تاثيرا فيه والحقيقة ان المقريزي تاثر بابن,-1,5193,المقريزي,ابراهيم,بن,محمد
010,0,مصر يلون تاريخ الضوء اللامع للسخاوي درسه ويحثه عاطفة قومية ظهر اثرها فيما بعد فيما اختاره ميدانا اساسيا لنشاطه وهذه الطاهرة كل في الظهور في شغفه باستقصاء ما استقصي عن تاريخ مصر ومجتمعاتها من الحقاءق الفريدة مءرخر مصر السلامية محمد عيد الله عتان ص الميحث الشاني وملانض المتريزي ومناصيه هكانيه عند السلطان حظي الامام المقريزي بمكانة خاصة عند السلطان الظاهر برقوق,-1,5193,المقريزي,ابراهيم,بن,محمد
010,4,عليه الضوء اللامع للسخاوي مءرخو مصر الاسلامية محمد عبد الله عنان ص الخطط المقريزية للمقريزي طبعة بيروت وما ليث ان صار المقريزي اماما لجامع الحاكم الفاطمي وهي وظيفة كبيرة في ذلك العصر وتولي يعد ذلك وظيفة مدرس للحديث بالمدرسة المءيدية وريما كان تعيينه في تلك الظيفة التعليمية بتوصية خاصة من استاذه ابن خلدون لدي السلطان برقوق كما,-1,5193,المقريزي,ابراهيم,بن,محمد
011,2,ويضاف الي هذه الواجبات الكثيرة الداخلة في اختصاص المحتسب احوال الباعة الجوالة والمتعيشين والمتسولين والمتعطلين الذين كاتوا خطرا علي الامن ويتضح من ضخامة هذه الوظيفة ومسءولياتها ان المقريزي الذي تعين بها بامر من السلطان برقوق لابد انه اشتهر وقتذاك بالكفاية والدقة في الادارة والامانة في تطييق ل الاحكام الشرعية وما ليث ان عزل المقريزي من هذه الوظيفة واستبدل بالقاضي بدر الدين,-1,5193,المقريزي,ابراهيم,بن,محمد
011,4,بشمس الدين اليجاسي ويبدو ان المقريزي نفسه ضاق بمسءليات هذا المنصب السلوك لمعرفة دول الملوك للمقريزي وتزهة النقوس والابدان لابن الصيرفي تزهة النفوس والابدان لابن الصيرفي الخطط المقريزية للمقريزي نزهة النفوس والابدان لابن الصيرفي التي شغلت وقته ليلا وتهارا وصرفته عن القراءة وتطلبت منه الجلوس في فكة المحتسب لفصل في شكاوي السوق والسوقة وتوقيع العقويات علي المخالفين,-1,5193,المقريزي,ابراهيم,بن,محمد
012,0,واصدار الاوامر الي العرفاء والاعوان والنقباء وفي ذلك الوقت تزوج المقريزي وانجب ابنته التي ماتت بالطاعون الذي اجتاح مصرستة ه م وهذا الطاعون هو الذي اوحي اليه بتاليف كتاب اغاءة الامة بكشف الغمة كما دفعه ضيقه بوظيفة المحتسب الي تاليف كتاب شذور العقود في ذكر النقود وكتاب الاكيال والاوزان الشرعية وما ليث ان عاو المقريزي في سنة ه م الي,-1,5193,المقريزي,ابراهيم,بن,محمد
012,2,عرض هذه الوظيفة عليه مرارا ويظهر انه سءم الوظاءف الحكومية كلية وضاق تكاليفها واعباءها وانه ملك من الاملاك عن جده لابيه بدمشق الامر الذي اغناه عن ضييع وقته في كسب العيش عن طريق مجالس الحكم والقضاء ومهما يكن فقد كانت هذه السنوات الدمشقية من حياته غنية بالاتتاج العلمي حيث كتب وصنف خلالها اول مءلفاته لا الطويلة وهو كتاب السيرة الذي,-1,5193,المقريزي,ابراهيم,بن,محمد
013,0,قميم الداري وكتاب التبر المسيوك اغاءة الامة بكشف الفمة مخطوط الصفحة ف ذكر من حج من الخلفاء والملوك وكتاب وصف حضرموت العجيية وكلها كتب خاصة بمحيط بلاد العرب واخبارها ومن الراجح ايضا ان الكتاب المسمي الاعلام بمن في ارض الحبثة من ملوك الاسلام يرجع كذلك الي هذه الفترة المكية ا م اراد المقريزي الاستقرار في مصر مرة اخري فعاد الي,-1,5193,المقريزي,ابراهيم,بن,محمد
013,3,ص المبحث الثالث صييممواضاتالمشريزي تشهد مءلفات الامام المقريزي علي عحق معرفته وسعة اطلاعه والمامه بعلوم شتي فقد برج قي علوم الدين من فقه وحديث وغيرهما يراعته في الادب من نظم ونثر فضلا عن مدي احاطته بالخطط والترجمة والسك والاوزان والمقاييس ومعرفته بعلم الحشرات والمعادن والطب والموسيقي ولكن اعظم اهتمامه انصب علي التاريخ فعرف جزءا كبيرا منه معرفة تامة وحفظ الكثير,-1,5193,المقريزي,ابراهيم,بن,محمد
013,4,منه والكثير واعتني بتحقيقه والتصنيف فيه حتي زادت مءلفاته في التاريخ علي تيف وثلاثين عنوانا تراوحت ما بين كتب صغري هي عبارة عن كتيبات ورساءل ومءلفات كبري تتسم بالموسوعية الامر الذي جعل المقريزي يتبوا مكانة الصدارة بين مءرضي عصره الذي عاش فيه كما قال عنه تلميذه ابن تغري بردي وفي المجملة هو اعظم من رايناه في علم التاريخ وضرويه مع,-1,5193,المقريزي,ابراهيم,بن,محمد
013,6,ق م ي م,-1,5193,المقريزي,ابراهيم,بن,محمد
014,0,معرفتي لمن عاصره من علماء المءرخين والفرق بينهم ظاهر وليس في التعصب فاءدة فمن المعروف ان المقريزي اختار تاريخ مصر ميدانا خير جهوده واعظمها ومع ذلك لم تحرم نواح اخري من ان يكتب فيها عددا من المءلفات في غير الاريخ مثل تاريخ النقود العربية والبيان المفيد في الفرق بين التوحيد والتلحيد ونحل عبر النحل والمقاصد السنية في معرفة الاجسام المعدنية,-1,5193,المقريزي,ابراهيم,بن,محمد
014,1,كما كتب في تواح اخري من تاريخ الاسلام مثل امتاع الاسماع فيما للنبي من الحفدة والاتياع والالمام بمن في ارض الحبشة من ملوك الاسلام وغير ذلك ولكن تعتبر هذه النواحي وتلك في الدرجة الثانية او المحل الثاني من الكتابة عنده اما تاريخ مصر وتاريخ تظمها ومجتمعها وتاريخ شعبها قد خصها المقريزي بمجحوعة من تفاءس الكتب مثل المواعظ والاعتبار بذكر الخطط,-1,5193,المقريزي,ابراهيم,بن,محمد
014,2,والاثار والسلوك لمعرفة دول الملوك وكتاب الملقفي وهو سير الامراء والكبراء الذين عاشوا في مصر واتعاظ الحنفاء باخيار الايمة الفاطميين الخلفاء وغيرهم كثير عن مصر فهذا التراث العظيم من مءلفاته تراث حافل من النجوم الزاهرة لابن تغري يردي حيث مداه ولكنه حاقل بالاخص من حيث نوعه وطرافته حيث فطن المقريزي الي تواح من تاريخ المجتمعات المصرية المتعاقية لم يفطن اليها,-1,5193,المقريزي,ابراهيم,بن,محمد
014,4,او يشاهد مءلفات الامام المقريزي فانه يستطيع الحكم بانها تتسم بسحتين لا ثالث لهما الاولي سمة الموسوعية والثانية سمة التخصصية اما من حيث عرض مءلفات الامام المقريزي فسوف اعرضها مرتبة علي حروف الابجدية اتعاظ الحنفا باخبار الانمة الفاطميين الخلفا يعتبر هذا المءلف اوفي مصدر في التاريخ الفاطصي وقد طبع هذا الكتاب عدة طبعات طبعة نشرها المستشرق بوتز ستة م وهي,-1,5193,المقريزي,ابراهيم,بن,محمد
015,1,منه ثم استكمل هذا العمل بعده الجزء الثاتي والجزء الثالث الدكتور محمد حلمي احمد عامي م اغاءة الامة بكشف الفمة وهو كتيب صغير يعتبر من خير ما كتب الامام المقريزي عمقا وفهما ويتناول فيه تاريخ المجاعات التي نزلت بمصر منذ اقدم العصور الي ستة ه م وهي الستة التي الف فيها الامام المقريزي هذا الكتاب وقد طيع هذا الكتاب في,-1,5193,المقريزي,ابراهيم,بن,محمد
015,3,وابعاده علي الجانب الاجتماعي وتحليل الاحداث والوصول الي الاسياب التي ادت لمثل هذه المجاعات وكذلك لم تقدم دراسة وافية عن الكتاب كما نقدمها نحن خلال هذا العمل العلمي الذي بين ايدينا الاشارة والاعلام بيناء الكعبة والبيت الحرام ذكر هذا الكتاب الامام السخاوي ضمن مءلفات الامام المقريزي وهو مفقود الالمام يمن في ارض الحبشة من ملوك الاسلام كتبه الامام المقريزي في,-1,5193,المقريزي,ابراهيم,بن,محمد
015,4,مكة سنة ل ه وحرره في مصر سنة ه يعد تدقيقه وقد طيع في بتافيا مع ترجمة فرتسية سنة م كما طبع في القاهرة سنة م امتاع الاسماع فيما للرسول من الحفدة والاتباع وهو يتحدث عن شماءل النيي والنبوات وال الرسول والسيرة التبوية والهجرة والفزوات ومجموعة من الاخبار عن احوال االرسول واحكامه واعماله ودقاءق حياته وحديثه وتوجد منه تسخة مخطوطة,-1,5193,المقريزي,ابراهيم,بن,محمد
015,6,ن ا ق ص ة,-1,5193,المقريزي,ابراهيم,بن,محمد
016,1,علي يد ستنفلد ونشره في ا ا ال ال الا ا ل لا طبعة عالم الكتب الييان المفيد في الفرق بين التوحيد والتلحيد هذا الكتاب غير منشور وتوجد منه سخ مخطوطة عديدة في تشيستر بتي رقم وفي ليدن رقم وفي باريس رقم وفي دار الكتب يمصر تاريخ الجراكسة وهو مخطوط في او كسفورد وقد ذكره جرجي زيدان في كتابه تاريخ,-1,5193,المقريزي,ابراهيم,بن,محمد
016,6,ف ي,-1,5193,المقريزي,ابراهيم,بن,محمد
017,0,الازهر برقم اياظة درر العقود الفريدة في تراجم الاعمال المفيدة وهو في ثلاث مجلدات ترجم فيه المقريزي لاعيان عصره البارزين ومنهم علماء اليمن ومن هذا الكتاب نسخة مخطوطة فريدة ف مجلدين عن نسخة المءلف سن ه في مكتبة ال الجليلي في الموصل الدرر المضيثة في تاريخ الدولة الاسلامية او الخلفاء حتي نهاية العباسيين وهو من مقتل سيدنا عفمان بن عفان,-1,5193,المقريزي,ابراهيم,بن,محمد
017,1,الي مقتل المستعصم ونهاية الخلاقة العباسية سنة ه ومنها سخة مخطوطة في كمبردج برقم في ورقة كييرة كتبت هذه النسخة بعد عهد المءلف بقليل ذكر بناء الكعبة والييت الحرام وهو مخطوط في دمشق بالمكتية الظاهرية تحت رقم وعدد اوراقه ورقة ذكر ما ورد في بني امية وبني العباس من الاقوال توجد تسخة من هذه الرسالة مخطوطة في فييتا الذهب المسيوك,-1,5193,المقريزي,ابراهيم,بن,محمد
017,4,ال م السلوك في معرفة دول الملوك وهو كتاب من ابرز كتب المقريزي ومن ابرز كتب التاريخ المصري الوسيط اتم به المقريزي سلسلة التواريخ المصرية بجمع وتسجيل اوسع ما وجد من المعلومات حول عصري الدولتين الايوبية والمملوكية من سنة ه حتي الستة التي سبقت وفاته سنة ه وقد طيع هذا كتاب سنة م في مجلدين تحقيق كاترمير الفرنسي بياريس ثم,-1,5193,المقريزي,ابراهيم,بن,محمد
018,0,طبع ونشر في مصرفظهر الجزء الاول مته سنة م تحقيق محمد مصطف زيادة ثم ظهر الجزء الثاني منه سنة م ثم ظهر الجزء الثالث والرابع بتحقيق سعيد عبد الفتاح عاشور مابين سنتي م شذور العقود في فكر النقود وهي رسالة تفيسة في تاريخ النقود العربية الاسلامية ولعله اول كتاب مفرد كتب في هذا الموضوع وقد طبع وترجم هذا الكتاب عدة,-1,5193,المقريزي,ابراهيم,بن,محمد
018,1,طبعات وترجمات فقد تقلت هذه الرسالة الي الايطالية وطبعت سنة م وترجمها المستشرق الفرتسي دوساسي الي الفرتسية وتشرها ستة م ثم تشرت في القسطنطينية ناية احسد فارس الشدياق ستة ه م بطبعة الجوانب مووطبعت في الاسكندرية سنة م بعناية ماير ثم طيعت في النجف الاشرف سنة م بعناية انظر التاريخ العريي والمءرخون شاكر مصطفي محمد صادق بحر العلوم ثم طبعت,-1,5193,المقريزي,ابراهيم,بن,محمد
018,2,في القاهرة سنة م بعناية الاب انستاس الكرملي ل طبعة الياس الحديثة ثم طيع مءخرا بتحقيق رافت محمد النبراوي لندن دار المريخ لنشر سنة م شارع النجاة انفرد السخاوي بذكره وذكر انه يشتمل علي جميع ما اختلف فيه اليشر من اصول ديانتهم وفروعها مع بيان ادلتها ووجه الحق فيها الضوء الساري في خيرتميم الداري وقميم الداري هو احد الصحابة الاولين,-1,5193,المقريزي,ابراهيم,بن,محمد
018,4,مدينة الفسطاط وهو قي فكر ملوك مصر والفسطاط ويعتبر اول كتاب كتبه المقريزي في تاريخ مصر الاسلامي الاول ومن هذا الكتاب تسخة مخطوطة فريدة في برلين ضمن مجموعة خطية تحل رقم معرفة ما يجب لال الييت من الحق علي من عاداهم وهي رسالة كتبها ستة ه ومنها مخطوط في قيينا ضمن مجموع واخري في باريس ضمن مجموع وقفد تشره محمد,-1,5193,المقريزي,ابراهيم,بن,محمد
018,6,ط ب ع,-1,5193,المقريزي,ابراهيم,بن,محمد
019,0,احمد عاشورعن دار الاعتصام القاهرة م منتخب التذكرة في التاريخ يقول عنه الامام المقريزي باته كتاب عديم المثال في مل التاريخ انتخيه من كتايه المسمي التذكرة وذكر فيه تاريخ الملوك والاعيان ومدة ككل متهم ووقت انقضاءه وانسابهم وتلخيص احوالهم وقد بقي من هذا الكتاب مجلد واحد مخطوط هو المجلد الاول من ادم الي سنة ه ويقع في ورقة وهو في,-1,5193,المقريزي,ابراهيم,بن,محمد
019,2,مجلده وقال السخاوي انه يشتل علي علمي العقل والنقل المحتوي علي فتي الجدل والهزل وقد بلفت مجلداته تحو الماءة المقفي وهو كتاب في تراجم اهل مصر والواردين اليها حاقل في تراجم الملوك والامراء والعلماء المصريين او من عرفتهم مصرمن جميع الاقطار وقد طيع وتشر اكثر من طحة فقد حققه سهيل زكار وطيع في بيروت بدار العلم م وحققه محمد اليعلاوي,-1,5193,المقريزي,ابراهيم,بن,محمد
019,4,دار التحرير بالقاهرة م النزاع والتخاصم فيما بين بني امية وبني هاشم وهي رسالة صغيرة ييحث فيها القريزي امر الفرقة والتنافس علي الخلافة بين الامويين وبني الهاشميين وقد طبع في القاهرة اكثر من مرة بمكتبة الاهرام سنة م وبالنجف بالمطبعة العلمية م وطبعة اخري بالتجف م تحل عبر النحل وما فيه من غراءبالحكمة وهو كتاب او فموذج لاهتمامات القريزي بالناحية,-1,5193,المقريزي,ابراهيم,بن,محمد
019,6,ا ح م د,-1,5193,المقريزي,ابراهيم,بن,محمد
020,0,العلمية وقد طبع بالقاهرة بتحقيق جمال الدين الشيال سنة م من خلال ما سيق من عرض لمءلفات الامام المقريزي يتبين للقارء غزارة في الانتاج العلمي ل حيث طرق مختلف الانواع التاريخية علي تباين في الكثرة والقلة كما يتضح لنا من العرض السايق ومن اتجاه مءلفاته انه رسم لعمله ترتييا تاريخيا استهدف به ان يكتب تاريخ الدول الاسلامية في مصر حتي,-1,5193,المقريزي,ابراهيم,بن,محمد
020,3,اغاءة الامة بكشف الغمة تاليف الشيخ الامام العلامة ل الموضح تقي الدين احمد بن علي بن عبد القادر المقريزي ما يدل علي مدي صحة نسبة الكتاب له وتسحيته بهذا الاسم المعروف به ومن خلال دراستي لشخصية الامام احمد بن علي المقريزي وقراءة وافية لهذا الكتاب واطلاعي علي العديد من المصادر لمراجع تبين لي نسب كتاب اغاءة الامة بكشف الغمة للامام,-1,5193,المقريزي,ابراهيم,بن,محمد
020,4,العلامة احمد بن علي المقريزي فقد ذكره جرجي زيدان ضمن مءلفات المقريزي المهمة والتي هي مرجع الناس في حالة مصر السياسية والاجتماعية ومحمد عبد الله عنان في كتابه مءرخو مصر الاسلامية حيث قال ومما يجدر ذكره ان اثر تفكير ابن خلدون يبدو واضحا في رسالة كتبها المقريزي عنوانها اغاءة الامة بكشف الغمة وذكره شاكر اتظر الصفحة من المخطوطة اتطر الصفحة,-1,5193,المقريزي,ابراهيم,بن,محمد
020,6,ا ل ع ل م ي ة,-1,5193,المقريزي,ابراهيم,بن,محمد
021,0,الاخيرة من المخطوطة تاريخ اداب اللفة العربية جرجي زيدان مورخرمصر الاسلامية محمد عبد الله عنان ص مصطفي في كتابه التاريخ العريي والمءرخون فقال من تراث المقريزي التاريخي كتاب اغاءة الامة بكشف الغمة وهو من خير ما كتب المقريزي عمقا وفهما واستعرض فيه تاريخ المجاعات التي حلت بمصر منذ اقدم العصور حتي مجاعة سنة ه والسنة التي كتب فيها الكتاب عندما,-1,5193,المقريزي,ابراهيم,بن,محمد
021,6,ا ل ا خ ي ر ة,-1,5193,المقريزي,ابراهيم,بن,محمد
022,1,عبد الله بن عبد الملك بن مروان الذي وليها من قيل ابيه الخليفة عبدالملك فتشامم به الناس لانه اول غلاء واول شدة راها المسلمون بمصر ومنذ الفتح العربي الاسلامي لمصر حتي ايام المقريزي نفسه عدو هذا المءرخ تحوعشرين ازمة اقتصادية تفاوتت في شدتها ارجع معظمها الي قصور نهر النيل وعدم وفاءه واتخفاض مستوي الفيضان وارجع القليل منها الي كثرة الاضطرابات,-1,5193,المقريزي,ابراهيم,بن,محمد
022,3,ناقدة تحليلية يغلب عليها الطابع الاقتصادي الاجتماعي والمتتبع لما كتبه المقريزي يجد انه ينتقد كثيرا من الاوضاع القاءمة في الدولة وما يرتبط يها من سوء تصرفات الحكام كما انه يرجع تلك الازمات التي تحل باليلاد الي تلك الاوضاع اتظر المخطوطة ص انظر المخطرطة ص والتصرفات ونراه يحلل تلك الازمات تحليلا اقتصاديا يجمع بين العمق والايجاز ويشرح ما لها من اثار,-1,5193,المقريزي,ابراهيم,بن,محمد
023,1,بعض الظواهر تعليلا عقليا ويتاقش عض العيوب نقاشا حرا يوافق العقل والمنطق كما تكمن اهمية كتاب اغاءة الامة بكشف الغمة في ان احد فصوله اصل لرسالة اخري من رسالات الامام المقريزي الصغيرة وهي شذور العقود في فكر النقود فقد كتبها لتكون فصلا من فصول كتاب اغاءة الامة بكشف الغمة ثم جعلها بعد ذلك كتابا مستقلا بعنوان خاص كما يتضمن هذا,-1,5193,المقريزي,ابراهيم,بن,محمد
023,2,الكتاب ما يذيده اهمية ايضا وهو اشارات علمية معقولة ذات اهمية لمشتفلين بكتابة التاريخ المصري في العصور الوسطي منها ارجاع الفتح الفاطمي لمصر الي عامل اقتصادي فوق العوامل الحربية المعروقة ومنها ايضا ان الخليفة الفاطمي كان يلقب احيانا بلقب السلطان فالكتاب يعطينا صورة واضحة ودقيقة وصادقة عن الاسباب والعوامل التي فجرتها وعن النكيات والمحن التي حلت بالشعب من جراء استهتار,-1,5193,المقريزي,ابراهيم,بن,محمد
023,4,ان يتقصي اسبابها ويقترح العلاج الاقتصادي الصحيح لدرءها ودواءها كما انه يتناول طبقات المجتمع المصري في عهده بالتقسيم والتصنيف ويصف كل طبقة من طيقاته في شء من التفصيل مما يدل دلالة حقيقية علي ان الامام المقريزي قد اقتدي في هذا الكتاب باستاذه اين خلدون في مقدمته فكلاهما كتب في صميم التواحي الاقتصادية الاجتماعية ما عدا ان كتاب اغاءة الامة بكشف,-1,5193,المقريزي,ابراهيم,بن,محمد
023,6,ت ك ا د,-1,5193,المقريزي,ابراهيم,بن,محمد
024,1,العلمي اشتملت مادة هذا الكتاب علي نقول من المصادر والمراجع التي سبقت الامام المقريزي كما اشتحلت علي عنصر المشاهدة التي شاهدها وعاشها المءلف ويظهر ذلك في كثير من عرض لمادته حيث عرض الكتاب علي التحو التالي اشتحل علي مقدمة ثم مقدمة حكمية تشتمل علي قاعدة كلية وفصل يتناول فيه ايراد ما حل بمصر من الغلوات وحكايات يسيرة من ابناء تلك,-1,5193,المقريزي,ابراهيم,بن,محمد
025,2,الذي زينه بالسجع في كثير من الاحيان والاسلوب الادبي المرسل في عرض الاغبار والروايات والتعليقات وتحليلاته لمواقف التي تحتاج الي تدخل منه فقد اختار العبارة المناسبة للتعبير مع قميز اسلويه بسهولة العرض فكانت عنايته بالصيفة اللفظية في اول الكتاب واضحة جلية حيث تظهر الموسيقا اللفظية في تعبيره من خلال اعتماده علي السجع في التعبير بعيدا عن الالفاظ الصعبة مما يدل,-1,5193,المقريزي,ابراهيم,بن,محمد
025,6,ع ل ي ه,-1,5193,المقريزي,ابراهيم,بن,محمد
026,4,انظر المخطرطة ص انظر المخطوطة ص انظر المخطوطة ص اوقية والاوقية خمسون درهما فيكون الرطل ستها درهم والنش وهو نصف الاوقية وهو عشرون درهما والنواة وهي خمة دراهم ان النسق التعبيري الذي عرض به الامام المقريزي كتابه جاء سهلا ميسورا مريخا القاري لانه ركز علي الموضوع الذي يهدف اليه بعيدا عن الاستطراد والحشو والتكرار ل ويعيدا عن التفريعات والخلافات مما,-1,5193,المقريزي,ابراهيم,بن,محمد
