,uri,phrase-count
70,0489IbnMuhammadSamcani.TafsirQuran.JK006476-ara1,3
263,0893IbnAhmadZaynDinSharji.TajridSarih.Shamela0096283-ara1,3
71,0510IbnMascudBaghawi.SharhSunna.Shamela0007891-ara1,3
162,0360Tabarani.MusnadShamiyyin.Shia002069Vols-ara1,3
94,0656AbuCabbasAnsariQurtubi.Mufhim.Sham19Y0132524-ara1,3
188,0749ZaynDinIbnWardi.SharhAlfiyyatIbnMalik.Sham19Y0017715-ara1,3
186,0711IbnManzurIfriqi.MukhtasarTarikhDimashq.Shamela0003118-ara1,3
77,0548IbnHasanTabarsi.TafsirJawamicJamic.Shia002356Vols-ara1,3
112,0769IbnCaqilBahaDinMisri.SharhCalaAlfiyya.Shia003954Vols-ara1,3
134,0911Suyuti.KhasaisKubra.Shamela0006590-ara1,3
63,0450AbuHasanMawardi.NukatWaCuyun.JK009396-ara1,3
19,0911Suyuti.DibajCalaMuslim.Shia001831Vols-ara1,3
202,0303Nasai.Tafsir.Tafsir02100-ara1,3
192,0407IbnMuhammadKharkushi.SharafMustafa.Shamela0023644-ara1,3
201,0303Nasai.SunanKubra.JK000475-ara1,3
222,0435MuhallabAndalusi.MukhtasarNasih.Shamela0037837-ara1,3
141,0982IbnMuhammadAbuSucud.IrshadCaqlSalim.JK000458-ara1,3
196,0307AbuYaclaMawsili.Musnad.Shia001976Vols-ara1,3
154,0273AbuUmayyaTarsusi.MusnadAbiUmayya.Shamela0029711-ara1,3
231,0584IbnMusaHazimi.IctibarFiNasikhWaMansukh.Shamela0022868-ara1,3
156,0311IbnKhuzaymaNaysaburi.Sahih.ShamAY0031687-ara1,3
54,0427AbuIshaqThaclabi.KashfWaBayan.Shamela0023578-ara1,3
130,0885BurhanDinBiqaci.NazmDurar.ShamAY0034073-ara1,3
12,0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,3
9,0581IbnKharratIshbili.JamcBaynSahihayn.Sham19Y0020638-ara1,3
166,0474IbnKhalafBaji.MuntaqaSharhMuwatta.Sham19Y0006684-ara1,2
109,0748Dhahabi.SiyarAclamNubala.Shamela0010906-ara1,2
110,0748Dhahabi.TarikhIslam.Shamela0035100-ara1,2
152,0211CabdRazzaqSancani.Musannaf.JK000785-ara1,2
238,0748Dhahabi.TanqihTahqiq.Shamela0022848-ara1,2
165,0456IbnHazm.MuhallaBiAthar.Shamela0000767-ara1,2
248,0942IbnYusufShami.SubulHuda.Shia003732Vols-ara1,2
149,0854IbnMalak.SharhMasabih.Sham19Y0017791-ara1,2
116,0776JamalDinSurramarri.KhasaisSayyidCalamin.Sham19Y0020594-ara1,2
168,0535QawwamSunna.DalailNubuwwa.JK000657-ara1,2
169,0643DiyaDinMuqaddasi.SunanWaAhkamCanMustafa.Shamela0001875-ara1,2
143,0322AbuHatimRazi.AclamNubuwwa.Noorlib0031306-ara1,2
178,0319IbnMundhirNaysaburi.AwsatFiSunan.ShamAY0034282-ara1,2
176,0911Suyuti.JamicKabir.Sham19Y0127677-ara1,2
139,0928MujirDinCulaymi.FathRahman.Sham19Y0014404-ara1,2
241,0756IbnYusufSaminHalabi.DurrMasun.Tafsir02079-ara1,2
137,0911Suyuti.TafsirJalalayn.Shia002669-ara1,2
136,0911Suyuti.Shafi.ShamAY0035950-ara1,2
122,0810IbnHadi.JawharShaffaf.Zaydiyya0000062-ara1,2
106,0743SharafDinTibi.SharhMishkat.Sham19Y0122257-ara1,2
129,0873AbuZaydThacalibi.JawahirHisan.Sham19Y0023618-ara1,2
128,0852IbnHajarCasqalani.CujabFiBayanAsbab.Shamela0002102-ara1,2
175,0855BadrDinCayni.SharhSunanAbiDawud.Shamela0008540-ara1,2
108,0745AbuHayyanGharnati.TafsirNahrMadd.Tafsir08090-ara1,2
81,0573IbnHibatAllahQutbDinRawandi.Kharaij.Shia001344Vols-ara1,2
105,0743SharafDinTibi.FutuhGhayb.Sham19Y0020891-ara1,2
59,0437MakkiIbnHammushQaysi.Hidaya.Shamela0022593-ara1,2
56,0430AbuNucaymIsbahani.DalailNubuwwa.Shamela0010637-ara1,2
55,0429AbuMansurThacalibi.Jawahir.ShamAY0034066-ara1,2
53,0421IbnMuhammadMarzuqi.AzminaWaAmkina.Shamela0011469-ara1,2
180,0458Bayhaqi.MacrifatSunanWaAthar.Shamela0002863-ara1,2
194,0676Nawawi.MinhajFiSharhMuslim.Shia001764Vols-ara1,2
44,0373AbuLaythSamarqandi.BahrCulum.Shamela0023594-ara1,2
43,0370IbnCaliJassas.FusulFiUsul.Shia002901Vols-ara1,2
42,0363QadiNucman.SharhAkhbar.Shia001278Vols-ara1,2
39,0360Tabarani.MucjamKabir.Shamela0001733-ara1,2
38,0333AbuMansurMaturidi.Tafsir.Shamela0095590-ara1,2
35,0311IbnSariZajjaj.MacaniQuran.Shamela0000922-ara1,2
31,0276IbnQutaybaDinawari.TawilMukhtalafHadith.Shamela0007292-ara1,2
225,0460ShaykhTusi.Khilaf.Shia000026Vols-ara1,2
212,0321Tahawi.SharhMushkilAthar.Shamela0022547-ara1,2
298,0902Sakhawi.SirrMaktum.Shamela0001500-ara1,2
10,0656IbnCabdQawiMundhiri.MukhtasarSahihMuslim.Sham19Y0017616-ara1,2
7,0471CabdQahirJurjani.DarjDurar.Sham19Y0122187-ara1,2
58,0437IbnHammushQayruwani.Hidaya.Tafsir03092-ara1,2
52,0415QadiCabdJabbar.TathbitDalailNubuwwa.Shamela0009789-ara1,2
161,0354IbnHibbanBusti.Salat.ShamAY0038116-ara1,2
101,0710IbnAhmadHafizDinNasafi.Tafsir.Shamela0001394-ara1,2
93,0650IbnMuhammadRadiDinSaghani.CubabZakhir.Shamela0000761-ara1,2
270,0543IbnCarabiIshbili.NasikhWaMansukh.Sham19Y0133367-ara1,2
85,0597IbnJawzi.ZadMasir.JK000791-ara1,2
84,0597IbnJawzi.JamicMasanid.Sham19Y0148271-ara1,2
184,0597IbnJawzi.KashfMushkil.JK007128-ara1,2
97,0660SultanCulamaCizzDinDimashqi.TafsirQuran.JK007018-ara1,2
83,0588IbnShahrAshub.ManaqibAlAbiTalib.Shia001349Vols-ara1,2
82,0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,2
76,0541IbnCatiyyaAndalusi.MuharrarWajiz.Shamela0023632-ara1,2
75,0538JarAllahZamakhshari.Kashshaf.ShamAY0034052-ara1,2
73,0517AbuNucaymHaddadIsbahani.JamicSahihayn.ShamAY0034005-ara1,2
68,0468IbnAhmadWahidiNaysaburi.WasitFiTafsir.Shamela0021821-ara1,2
267,0458Bayhaqi.Khilafiyyat.Sham19Y0131336-ara1,2
219,0395IbnMandahMuhammad.MacrifatSahaba.Shamela0021481-ara1,1
218,0389Makhladi.Fawaid.ShamAY0032921-ara1,1
244,0806IbnHusaynZaynDinCiraqi.TaqribAsanid.JK007116-ara1,1
237,0745IbnMuhammadTaqiDinIbnImam.SilahMumin.JK001236-ara1,1
220,0413ShaykhMufid.FusulMukhtara.Shia001303-ara1,1
221,0428AbuHusaynQuduri.Tajrid.Sham19Y0017768-ara1,1
223,0458Bayhaqi.AsmaWaSifat.Shamela0009270-ara1,1
233,0656IbnCabdQawiMundhiri.MukhtasarSunanAbiDawud.Sham19Y0020944-ara1,1
226,0461IbnHusaynSughdi.NutafFifatawa.Shamela0006178-ara1,1
243,0804IbnMulaqqin.CujalatMuhtaj.Sham19Y0020561-ara1,1
227,0463IbnCabdBarr.Durar.Shamela0010695-ara1,1
228,0535QawwamSunna.SiyarSalaf.Shamela0021493-ara1,1
234,0726CallamaHilli.MuntahaMatlab.Shia000107Vols-ara1,1
236,0732IbnCumarBurhanDinJacbari.RusukhAhbar.Sham19Y0014032-ara1,1
239,0749MuayyadYahya.Intisar.Zaydiyya0000162-ara1,1
229,0543IbnCarabiIshbili.MasalikFiSharhMuwatta.Sham19Y0123665-ara1,1
230,0564CabdKhaliqIbnAsadHanafi.Mucjam.Sham19Y0123581-ara1,1
240,0751IbnQayyimJawziyya.ZadMacad.Shamela0021713-ara1,1
235,0728IbnTaymiyya.Istiqama.JK000028-ara1,1
242,0783IbnMajidMaqdisi.Muqarrar.Sham19Y0022884-ara1,1
0,0211CabdRazzaqSancani.Tafsir.JK000435-ara1,1
245,0807NurDinHaythami.MajmacZawaid.Shia001782Vols-ara1,1
275,0222IbnNaficHimsi.Hadith.Shamela0029704-ara1,1
277,0273IbnMaja.Sunan.Shia001731Vols-ara1,1
278,0303Nasai.SunanSughra.JK000130-ara1,1
279,0307IbnJarudNaysaburi.Muntaqa.Shia001989-ara1,1
280,0386IbnCumarHarbi.Mashyakha.Shamela0030075-ara1,1
281,0463IbnCabdBarr.IstidhkarJamic.Shia002119Vols-ara1,1
282,0543IbnIbrahimHamadhaniJurqani.Abatil.Shamela0009642-ara1,1
283,0571IbnCasakir.MucjamShuyukh.Shamela0012750-ara1,1
284,0726CallamaHilli.TadhkiratFuqaha.Shia000089Vols-ara1,1
285,0911Suyuti.SharhSunanNasai.ShamAY0033910-ara1,1
286,0255CabdAllahDarimi.Sunan.Sham19Y0036114-ara5,1
287,0422QadiCabdWahhabThaclabi.Macuna.ShamAY0031806-ara1,1
288,0483IbnAhmadSarakhsi.Mabsut.ShamAY0034206-ara1,1
289,0510IbnMascudBaghawi.MasabihSunna.Sham19Y0014119-ara1,1
290,0510IbnMascudBaghawi.TahdhibFiqhShafici.Sham19Y0017885-ara1,1
291,0676Nawawi.Majmuc.Shia000841Vols-ara1,1
292,0685NasirDinBaydawi.TuhfatAbrar.Sham19Y0013614-ara1,1
293,0727MuzhiriZaydani.Mafatih.Sham19Y0016976-ara1,1
294,0741KhatibTabrizi.MishkatMasabih.Shamela0008360-ara1,1
295,0762IbnYusufZaylaci.NasbRaya.Shamela0011428-ara1,1
296,0803SadrDinMunawi.KashfManahij.Sham19Y0017063-ara1,1
297,0855BadrDinCayni.BinayaSharhHidaya.Shamela0000427BK2-ara1,1
299,0413ShaykhMufid.Irshad.Shia001294Vols-ara1,1
300,0797IbnCaquli.Rasf.Sham19Y0127700-ara1,1
276,0230IbnSacd.TabaqatKubra.Shamela0001686-ara1,1
274,0219IbnZubayrHumaydi.Musnad.Shamela0008493-ara1,1
246,0852IbnHajarCasqalani.MatalibCaliyya.Sham19Y0037618-ara1,1
273,0204Shafici.SunanMathura.JK000677-ara1,1
247,0923AhmadQastallani.MawahibLaduniyya.Shamela0023685-ara1,1
249,0975MuttaqiHindi.KanzCummal.Shia002265Vols-ara1,1
250,0500AhmadAndarabi.IdahFiQiraat.ShamAY0036795-ara1,1
251,0684ShihabDinQarafi.SharhTanqih.Shamela0021813-ara1,1
252,0686IbnNazim.SharhAlfiyya.Sham19Y0018115-ara1,1
253,0749BadrDinMisriMuradi.TawdihMaqasid.Shamela0009988-ara1,1
254,0756IbnYusufSaminHalabi.CumdatHuffaz.Sham19Y0017829-ara1,1
255,0769IbnFarhunBadrDin.CuddaFiIcrabCumda.Sham19Y0150600-ara1,1
256,0807Makkudi.SharhCalaAlfiyya.Sham19Y0017719-ara1,1
257,0827BadrDinDamaminiMakhzumi.TacliqFaraid.Sham19Y0020985-ara1,1
258,0855BadrDinCayni.MaqasidNahwiyya.Sham19Y0016714-ara1,1
259,0900IbnMuhammadNurDinAshmuni.SharhCalaAlfiyyatMalik.Shamela0011742-ara1,1
260,0388AbuSulaymanKhattabi.AclamHadith.Sham19Y0016946-ara1,1
261,0734IbnSayyidNas.CuyunAthar.Masaha002308Vols-ara1,1
216,0378HakimKabir.AsamiWaKuna.ShamAY0034585-ara1,1
262,0795IbnRajabHanbali.FathBariFiSharhSahihBukhari.Shamela0000137-ara1,1
264,0774IbnKathir.NihayaFiFitan.Shamela0011818-ara1,1
265,0319IbnMundhirNaysaburi.TafsirQuran.Shamela0022549-ara1,1
266,0405AbuCabbasCasmi.Juz.Shamela0026563-ara1,1
268,0468IbnAhmadWahidiNaysaburi.AsbabNuzul.ShamAY0036736-ara1,1
269,0509IbnShahridarDaylami.Firdaws.JK001297-ara1,1
271,0643IbnSalahShahrazuri.SharhMushkilWajiz.Sham19Y0021525-ara1,1
272,0804IbnMulaqqin.BadrMunir.Shamela0005922-ara1,1
217,0385Daraqutni.CilalWarida.Shamela0009082-ara1,1
151,0180IbnJacfarAnsari.HadithIsmacil.JK011499-ara1,1
215,0360Tabarani.MucjamAwsat.Shia002034Vols-ara1,1
80,0568MuwaffaqKhwarazmi.MaqtalHusayn.Rafed0003228Vols-ara1,1
51,0406IbnFurakIsbahani.Tafsir.Shamela0010523-ara1,1
57,0430MuwaffaqHusaynJurjani.Ictibar.Zaydiyya0000013-ara1,1
60,0444AbuCamrDani.SunanWarida.Shamela0013034-ara1,1
62,0450AbuHasanMawardi.AclamNubuwwa.Shamela0009768-ara1,1
64,0458AbuYaclaIbnFarra.IbtalTawilat.Shamela0022921-ara1,1
69,0478ImamHaramaynJuwayni.NihayatMatlab.Shamela0009851-ara1,1
74,0521IbnMuhammadBatalyawsi.Iqtidab.Sham19Y0017681-ara1,1
79,0561CabdQadirJilani.Tafsir.Tafsir03095-ara1,1
86,0600AbuBaqaHilli.ManaqibMazyadiyya.JK009228-ara1,1
118,0792IbnCumarTaftazani.SharhMaqasid.Shia004501Vols-ara1,1
87,0606FakhrDinRazi.ArbacinFiUsulDin.Rafed0003314Vols-ara1,1
90,0614IbnAhmadIbnKhumayrSabti.TanzihAnbiya.Rafed0001909-ara1,1
91,0619AbuCabbasSharishi.SharhMaqamatHariri.Sham19Y0000760-ara1,1
95,0656IbnAbiHadid.SharhNahjBalagha.Shia002185Vols-ara1,1
96,0660IbnCadim.TarjamatHusayn.Masaha001955-ara1,1
99,0685IbnSacidMaghribi.NashwatTarab.Shamela0028174-ara1,1
100,0685NasirDinBaydawi.AnwarTanzil.Shamela0023588-ara1,1
102,0728IbnMutahharZaydi.CuqudCiqyan.Zaydiyya0000373Vols-ara1,1
50,0406IbnFurakIsbahani.MushkilHadith.Shamela0005899-ara1,1
49,0405CabdKarimNahshaliQayrawani.Mumtic.ShamAY0032088-ara1,1
48,0403AbuCabdAllahHalimi.MinhajFiShucabIman.Sham19Y0018567-ara1,1
47,0400IbnTahirMaqdisi.BadWaTarikh.Shamela0012318-ara1,1
6,0335IbnKulaybShashi.Musnad.Shamela0013066-ara1,1
14,0832TaqiFasi.CiqdThamin.Rafed0002209Vols-ara1,1
18,0902Sakhawi.Qanaca.Sham19Y0127668-ara1,1
23,0150MuqatilIbnSulayman.TafsirMuqatil.Shamela0023614-ara2,1
24,0207IbnZiyadFarra.MacaniQuran.Shamela0023634-ara1,1
25,0209MacmarIbnMuthanna.SharhNaqaidJarir.Sham19Y0013609-ara1,1
26,0227IbnMansurKhurasani.Sunan.ShamAY0038067-ara1,1
27,0255Jahiz.HujajNubuwwa.Shamela0010428BK27-ara1,1
28,0260ImamCaskari.Tafsir.Shia002334-ara1,1
30,0276IbnQutaybaDinawari.GharibHadith.Shamela0007012-ara1,1
32,0279Baladhuri.AnsabAshraf.Shamela0009773-ara1,1
33,0285IbnYazidMubarrad.KamilFiLugha.Shamela0008505-ara1,1
34,0300IbnJacfarHimyari.QurbIsnad.Masaha000690-ara1,1
36,0320IbnMuhammadBayhaqi.Mahasin.Masaha002349-ara1,1
37,0328IbnCabdRabbihi.CiqdFarid.Shamela0023789-ara1,1
45,0399IbnAbiZamanaynIlbiri.Tafsir.JK007095-ara1,1
46,0400CubaydAllahIbnHassan.MajmucatMukhtaratRasailJahiz.Shamela0010428BK2-ara1,1
117,0790IbnMusaGharnatiShatibi.Muwafaqat.Shamela0011435-ara1,1
120,0803IbnMusaJamalDinMalati.MuctasarMinMukhtasar.Shamela0011816-ara1,1
214,0338AbuJacfarNahhas.NasikhWaMansukh.Shamela0013073-ara1,1
203,0761IbnKaykaldiCalai.Tanbihat.Shamela0010322-ara1,1
185,0676IbnHasanMuhaqqiqHilli.MuctabarFiSharhMukhtasar.Shia000055Vols-ara1,1
189,0852IbnHajarCasqalani.ImtacBiArbacin.Shamela0005719-ara1,1
190,0228IbnHammadKhuzaci.Fitan.Shia003470-ara1,1
191,0373AbuLaythSamarqandi.TanbihGhafilin.Shamela0010488-ara1,1
193,0573NashwanHimyari.ShamsCulum.Masaha003682Vols-ara1,1
195,0282IbnHarbCaskari.MusnadAbiHurayra.Shamela0026592-ara1,1
198,0385Daraqutni.Sunan.JK000477-ara1,1
199,0430AbuNucaymIsbahani.MacrifatSahaba.JK009408-ara1,1
204,0911Suyuti.LubabNuqul.Shamela0002247-ara1,1
125,0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,1
205,0197IbnWahbQurashi.MuwattaIbnWahb.Shamela0026865-ara1,1
206,0204Shafici.IkhtilafHadith.ShamAY0034043-ara1,1
207,0204Shafici.Musnad.Shamela0021495-ara1,1
208,0204Shafici.Umm.Shia000820Vols-ara1,1
209,0235IbnAbiShayba.Musannaf.JK000786-ara1,1
210,0280HudHawwari.Tafsir.Tafsir06048-ara1,1
211,0321Tahawi.SharhMacaniAthar.Shia002003Vols-ara1,1
213,0327IbnAbiHatimRazi.Tafsir.Shamela0008658-ara1,1
182,0558IbnAbiKhayrCimraniYamani.BayanFiMadhhabShafici.Shamela0021721-ara1,1
179,0450AbuHasanMawardi.HawiKabir.ShamAY0034249-ara1,1
177,0264IbnYahyaMuzani.SunanMathura.Shamela0013033-ara1,1
173,0792SadrDinIbnAbiCizzAdhraci.Tanbih.Sham19Y0018259-ara1,1
131,0893IbnAbiBakrHadari.BahjatMahafil.Masaha001946Vols-ara1,1
132,0905IbnCabdRahmanIjiShafici.Tafsir.Shamela0029743-ara1,1
135,0911Suyuti.MuctarakAqran.Shamela0001417-ara1,1
138,0920IbnMahmudNakhjawani.FawatihIlahiyya.Shamela0023624-ara1,1
144,0377IbnAhmadFarisi.HujjaLiQurraSabca.Shamela0035101-ara1,1
145,0544QadiCiyad.MashariqAnwar.Shamela0010527-ara1,1
146,0606IbnAthirMajdDin.NihayaFiGharib.Shia003923Vols-ara1,1
147,0656IbnCabdQawiMundhiri.TarghibWaTarhib.Sham19Y0013223-ara2,1
148,0711IbnManzurIfriqi.LisanCarab.Shamela0001687-ara1,1
150,0986IbnCaliFattani.MajmacBihar.Sham19Y0013631-ara1,1
1,0235IbnAbiShayba.Musnad.JK007049-ara1,1
155,0275AbuDawudSijistani.Sunan.Shamela0117359-ara1,1
160,0333IbnMarwanDinawari.MujalasaWaJawahirCilm.JK007082-ara1,1
163,0388AbuSulaymanKhattabi.MacalimSunan.Shamela0001442-ara1,1
167,0502RaghibIsbahani.Mufradat.Masaha003644-ara1,1
170,0728IbnTaymiyya.MajmucFatawa.Shamela0007289-ara1,1
171,0728IbnTaymiyya.RasailWaFatawa.JK006950-ara1,1
301,0852IbnHajarCasqalani.TaghliqTacliq.Shamela0000347-ara1,1
