Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount
49,تهذيب,التهذيب,التقريب,الكمال,الجرح,والتعديل,صدوق,انظر,ثقه,الكاشف,298,238,69
50,الساج,البريدي,المقتدر,منس,وفيها,القرمطي,مقله,وقلد,الاهواز,الوزير,284,253,42
51,الزكاه,زكاه,العشر,اوسق,تجب,الحبوب,الحول,النصاب,خمسه,يضم,279,245,92
52,مفتوحه,مهمله,ساكنه,وسكون,اوله,مكسوره,انتهي,مثناه,قلت,الموحده,278,250,20
53,منده,شجاع,الفتح,عبدالواحد,الواحد,عداده,صحبه,عبدالله,انا,يكني,276,272,5
54,يحكم,بعلمه,الشهاده,شهاده,يقبل,علمه,شهادته,الحدود,يشهد,الحاكم,275,252,66
55,يرو,تفرد,يروه,الاسناد,الا,الحديث,لهيعه,بهذا,نا,يروي,273,232,11
56,السجن,ياتيكما,تستفتيان,فانساه,الشيطان,ربه,اذكرني,خمرا,الطير,الساقي,264,206,97
57,النسخه,نسخه,برقم,اللوحه,ورقه,سطرا,مكتبه,بخط,الظاهريه,صفحه,259,118,189
58,رحمهم,فثبت,اجمعين,النظر,ذكرنا,الباب,الاثار,وابي,وهذا,مرزوق,258,250,13
59,الغنيمه,سهم,الحرب,اسهم,الخمس,يسهم,القربي,الاوزاعي,بسهم,يقسم,249,212,68
60,ويحيي,وعبد,وابراهيم,والوليد,ويزيد,ووكيع,وعمرو,ومروان,واحمد,وابي,247,239,33
61,رقم,صحيحه,طريق,السنن,كتاب,باب,الموطا,ومسلم,واخرجه,القعنبي,241,196,6
62,رباح,تسميه,البركات,الدولابي,الانماطي,المهندس,تابعي,معين,معاويه,ومحدثيهم,233,233,3
63,كيدكن,باهلك,قميصه,دبر,راودتني,يسجن,راودته,الباب,واستغفري,جزا,232,185,85
64,الريان,فرعون,سام,يوشع,عمليق,العماليق,قابوس,عملاق,لاوي,لاوذ,231,193,98
65,تلف,مساله,الاجير,يصح,وبه,يضمن,يحجر,الخيار,يجوز,الشافعي,227,215,49
66,القراه,عرضا,مب,غا,مقر,قرا,الحروف,الداني,الكساي,الاعشي,225,205,27
67,الوفاه,وعنه,شاهين,سمع,وجماعه,القواس,وثقه,بغدادي,واخرون,الدارقطني,219,208,17
68,لاب,الاخت,الاخ,السدس,لبنت,المال,والام,وبنت,لام,فالمال,218,150,24
69,شجاع,منده,الفتح,عبدالواحد,الواحد,انا,خيثمه,نا,عبدالله,اخبرناه,211,210,4
70,اه,الهدايه,الاصح,ظاهر,الروايه,المصنف,الخ,الفتوي,الخلاف,اقول,210,198,24
71,والبخاري,الموطا,ومسلم,والنساي,مسلمه,قتيبه,القعنبي,مالك,معن,قرات,210,104,4
72,وعنه,وثقه,وثق,حبان,بخ,وجماعه,صدوق,معين,ثقه,النساي,209,178,14
73,مسعده,السمرقندي,نا,حمزه,عدي,انا,القاسم,العتيقي,العقيلي,البركات,207,203,5
74,الوقف,مسجدا,موقوفه,التابيد,الغله,وقف,المسجد,ارضي,الواقف,تنقطع,203,154,21
75,يروي,روي,عنه,عداده,كنيته,مولي,سمع,طريف,منبه,المقاطيع,203,196,23
76,النسبه,اخرها,وسكون,قري,بفتح,وفتح,قريه,النون,المهمله,الرا,202,193,10
77,القلب,الروح,البشريه,النفس,اوصاف,زليخا,انوار,الحق,الاوصاف,يشير,193,149,39
78,حماد,ابيه,حنيفه,رضي,انه,الهيثم,عنهما,ابراهيم,عن,عمن,191,106,3
79,وصح,بقراه,الجز,مجالس,وثبت,المسمع,وكتب,المحروسه,السماع,وستماه,190,117,87
80,سمعت,يقول,الوراق,اخبرني,ابا,حنبل,الفربري,النجيب,الاشقر,الشاشي,190,169,38
81,اخرون,المذكورين,ومحمدا,واراد,خالف,فانهم,وابا,ومالكا,بهم,القوم,188,188,13
82,اكلوا,الدخان,كسني,اشدد,مضر,وطاتك,دعا,اللهم,قريشا,عليهم,188,182,107
83,ومنه,سوره,وقوله,تعالي,كقوله,قلوبكما,صغت,عسي,يعني,الاسرا,188,161,107
84,روي,سمعت,يقول,زرعه,عنه,مجهول,سل,سالت,ذلك,الرحمن,186,174,3
85,القعنبي,ثلاثتهم,قتيبه,اربعتهم,كلاهما,البيوع,الكبري,الصلاه,حديث,الطهاره,181,140,1
86,وحدثنا,غسان,وعاش,حدثنا,البصري,العبدوي,نا,مهدي,حدثني,الرحمن,180,160,100
87,منبه,المنيعي,همام,الزيادي,محمش,الرزاق,معمر,القطان,السلمي,حسان,179,172,27
88,الدين,عبدالرحمن,ورقم,عبدالله,والصفحه,المجلد,جمال,شمس,زين,ايراهيم,178,142,13
89,اثبت,معين,الرزاق,زنديق,السمتي,ثقه,نقلب,زرعه,سمعت,حديثه,173,158,70
90,حيويه,الفهم,الجوهري,معروف,البنا,طالب,قري,عمي,غالب,سعد,171,171,3
91,المنجم,المامون,نواس,حدثني,البحتري,اخبرني,هفان,جعيفران,دلف,العتاهيه,170,153,61
92,رقم,بلفظ,الصفحه,الجز,والاستنشاق,المعجم,للطبراني,المضمضه,سننه,سنن,169,165,34
93,وسمع,وسبع,وحدث,وسبعماه,مه,ولد,ومات,الحجار,الصالحي,الحنبلي,167,159,37
94,سمعت,يقول,النون,الشكلي,الدنيا,الزهد,الحواري,ذا,ابا,الاعرابي,164,146,37
95,البلنسي,الاشبيلي,الغرناطي,القرطبي,الانصاري,الداني,الفهري,اللخمي,القيسي,الملجوم,158,99,15
96,عقب,اعقب,المعقبين,اعقاب,الجون,الاخيضر,باليمامه,بينبع,اولاد,الاصغر,158,116,35
97,القريه,واسال,المجاز,مجازا,اللفظ,كقوله,مجاز,كمثله,التجوز,عقلا,157,141,65
98,الحرمين,انظر,الجويني,الشافعيه,اصول,الذهب,المتوفي,الفقه,طبقات,شرح,154,136,95
99,ارطال,الصاع,وثلث,رطل,ثمانيه,صاع,بالعراقي,خمسه,والمد,والصاع,152,128,94
100,النحر,دم,المحصر,الميقات,يحلق,احرامه,احرم,الهدي,الحلاق,طواف,147,135,54
101,المستنجد,المقتفي,لدين,المستضي,بالله,المستظهر,بويع,العاضد,بامر,بالخلافه,145,139,64
102,عروه,عاشه,عنها,قالت,ترجيل,بالليل,الضجع,ركعتي,انها,الحاض,144,135,28
103,الجد,الام,الاخت,الاخوه,الاب,السدس,اولي,الاخ,للاب,الاخوات,143,131,51
104,املا,رسول,حدثنا,واله,جابر,المنكدر,انس,عطيه,ثنا,فكتمه,139,127,72
105,الشيخ,فاريته,سيدي,الاطبا,فكتبت,البسك,وجعلك,لي,وانفقت,فوقع,139,126,80
106,بسنده,مه,حدث,الميانجي,وثلاث,واربع,وحدث,ومتين,بدمشق,دمشق,139,136,19
107,الفروع,المذهب,ونقل,وقدمه,المستوعب,وجزم,نص,السلب,الاصحاب,الرعايه,138,135,29
108,الخوف,فاقمت,فيهم,صلاه,العدو,الصف,الطافه,مشروعه,بامامين,بالنبي,137,133,102
109,حكومه,ارش,الكف,الديه,قصاص,عدل,قطع,الارش,الساعد,الاصابع,136,118,38
110,وسمع,الجميزي,وحدث,وابن,الساوي,المقير,واجاز,رواج,وجماعه,خليل,135,126,35
111,بريه,اعترفت,تصدقوني,تحولت,والله,فراشي,ولن,المستعان,يعلم,تصفون,135,130,92
112,يحلف,المدعي,ادعي,تندفع,الغاب,يحلفه,يدعي,البينه,اقر,يستحلف,135,124,17
113,جش,جخ,النجاشي,كش,كوفي,بصير,الكشي,رجال,الرضا,ثقه,135,116,40
114,بقرات,سمان,عجاف,سنبلات,سبع,يابسات,ياكلهن,خضر,واخر,ياكلن,132,109,77
115,المجاهد,الكذا,مولانا,المسلمين,امير,العالمين,عميم,معظم,وبركاته,مقامكم,132,112,41
116,العتيقي,البركات,العقيلي,الانماطي,مسعده,الشامي,السمرقندي,انا,حديثه,انبانا,132,127,3
117,اسباط,وامشي,اقوم,تصلي,انوي,بالعظمه,بحاتم,الزهد,واكبر,بالنيه,131,118,60
118,وجز,سنن,وعلي,جز,تخريج,مسند,وسمع,ثلاثيات,بسماعه,امالي,130,120,26
119,الكرجي,خراش,الغازي,طلحه,المقر,الطرسوسي,صدوق,داود,اخبرنا,كوفي,130,130,9
120,طهرا,حيضا,دما,رات,حيض,ايامها,عادتها,يوما,بالطهر,حيضها,127,92,18
121,الرقم,الحسكاني,تاريخ,ترجمه,التنزيل,الورق,كفايه,شواهد,رواه,المغازلي,127,120,25
122,تفرد,غريب,وتفرد,حديث,الحديث,يروه,وغريب,به,عنه,الشعبي,126,119,4
123,فمسه,روبيل,غضبه,اتحب,اخيك,يلدك,اخاك,فبكي,اخوك,وحيدا,125,107,51
124,نظيف,رشا,ورشا,خراش,عبدان,الكتاني,الربعي,انا,الاكفاني,الطرسوسي,124,123,2
125,تاشفين,المرابطين,مراكش,عام,المريني,تموز,الموحدين,فاس,سجلماسه,مدينه,124,97,33
126,الوفاه,الاندلسي,القراات,القرطبي,بشكوال,وسمع,وتوفي,الابار,نجبه,الاندلس,123,122,36
127,واخرجه,تعدد,موضعه,اخرجه,المغازي,ايضا,وعن,والحديث,وفي,القعنبي,121,120,6
128,البغداذي,وليد,وحدثني,النفزي,عتاب,خيرون,ملفه,غانم,الاديب,خاله,118,101,10
129,نسالك,نبي,معادن,اتقاهم,خيارهم,اكرم,تسالوني,فعن,فاكرم,الجاهليه,117,107,78
130,الالتقا,تخريجه,الاستخراج,موضع,رقم,انظر,مسلم,فواد,ملتقي,تخريج,116,67,9
131,يقطع,الحرز,الكم,السرقه,الداخل,قطع,القطع,سرقه,سرق,الخارج,115,90,16
132,روايه,بسم,سماع,الرحيم,لصاحبه,نفعه,العالم,الشيخ,خليل,الدمشقي,114,49,90
133,الطبقه,اللفتواني,منده,الدنيا,شجاع,سعد,انا,ويكني,تابعي,عمرو,114,114,3
134,بايعت,اعتمر,وخاصمت,فانكحني,الجويريه,لاخوانه,يتكلف,حجته,لحام,وجدي,113,110,53
135,التجاره,العبد,الماذون,المكاتب,المولي,لعبده,دين,اقر,مولاه,اذن,113,98,7
136,زعيم,ولمن,بعير,حمل,الزعيم,غارم,الكفاله,الضمان,الكفيل,والزعيم,111,110,61
137,الحيض,حيض,حيضا,اقل,والكدره,الطهر,الصفره,يوما,اقله,النفاس,110,92,50
138,الكرخي,خلاد,عبيدالله,اسامه,بدر,الحارث,المحبر,واله,وبه,حدثنا,110,91,9
139,موسرا,معسرا,لشريكه,نصيبه,المعتق,سعي,قيمته,العبد,استسعي,نصف,109,99,38
140,تكاري,اجر,ارايت,الكرا,الاجاره,الاجر,المستاجر,استاجر,المنزل,دابه,107,76,7
141,الماليني,مسعده,السمرقندي,واخبرنا,انا,حمزه,قالا,انبانا,القاسم,عدي,107,106,2
142,تفقه,فقيها,ومنهم,الفقيه,عجيل,الذكر,ونفع,وثمانمه,الاتي,بالفقه,106,96,20
143,اليد,يقضي,اسبق,البينه,للتاريخ,للخارج,الخارج,ارخا,تاريخا,بينه,105,84,17
144,ومنهم,الفقه,الاجواد,ومتين,اصحاب,اخذ,وماتين,المريسي,الرازي,تفقه,105,92,51
145,وابا,وابو,وابي,الربعي,الميانجي,وجمح,الهروي,الرقي,البعلبكي,العباس,103,102,15
146,وعبد,ويحيي,عس,ويزيد,بخ,ومخلد,الجراح,سي,التنيسي,مد,103,101,3
147,المدرسه,انشاها,الاستادار,بجوار,القيساريه,صلاح,تجاه,مدرسته,الان,مدرسه,103,97,36
148,وقف,الوقف,يصح,الواقف,المشاع,وقفه,والدور,والسلاح,وقفا,الموقوف,102,91,49
149,عفير,ومعن,بكير,الموطا,المصعب,مصعب,القعنبي,والقعنبي,وابن,وهب,101,93,36
150,الابنوسي,الجلي,المصيصي,الاصبحي,نا,الكلابي,الكتاني,عمير,الاكفاني,البنا,101,100,7
151,انشدني,لنفسه,النوي,القناوي,وانشدني,القفطي,انشدنا,اللامغاني,والده,شعره,100,96,29
152,واخرج,المنذر,جرير,وابن,حاتم,مردويه,رضي,اخرج,الشيخ,والحاكم,99,76,15
153,وقت,ظل,الظهر,الشفق,مثليه,العصر,الظل,الحمره,الشمس,وقتها,99,95,60
154,افقه,اعف,لكتاب,يكسو,سمعت,الفالج,اقرا,المديني,يقول,ليلي,98,94,49
155,ارسلنا,قبلك,رجالا,نوحي,القري,اليهم,افلم,يسيروا,فينظروا,قبلهم,96,93,59
156,املا,الطالقانيون,حدثنا,مصرف,الجباخاني,بغنجار,الصهبا,رزمه,شمر,سهل,96,89,45
157,الشهاده,تقبل,الخصم,المزكي,تزكيته,العدد,التحمل,شهادته,عدول,قضاه,95,91,26
158,كريم,تثريب,اخ,تظنون,الراحمين,تقولون,ارحم,يغفر,اقول,عليكم,95,87,85
159,فلها,مهر,المهر,لها,النكاح,الصداق,الدخول,نفسها,تزوجها,خدمته,94,92,40
160,فرواه,واختلف,يرويه,وخالفه,ووهم,ورواه,رواد,هذيل,مرسلا,عابس,94,93,23
161,ابويهما,الرضا,الاسترابادي,المفسر,سيار,ابيه,جعفر,الصادق,زياد,مهرويه,94,84,39
162,روايته,الاجازه,سماعه,لعمل,الروايه,العمل,الموجودين,سلامته,بحكمه,فعن,93,79,56
163,فليصل,حفصه,لاصيب,ففعلت,لانتن,البكا,انكن,مقامك,مروا,لعاشه,91,88,65
164,الثلث,اسهم,يضرب,لصاحب,الموصي,الورثه,ولصاحب,سهما,بالثلث,بثلث,90,75,17
165,النشوار,القصه,حاشيه,ترجمته,راجع,التنوخي,البهلول,تجارب,الازدي,المنتظم,90,81,1
166,انشدني,لنفسه,وانشدني,يمدح,قصيده,الصاحب,الوزير,ميد,شعره,الكامل,89,86,37
167,الخراج,العشر,عشريه,خراجيه,حيز,ارض,ارضا,فهي,الكافر,كالخراج,89,81,28
168,الاوقي,السلفي,بالمسجد,الاقصي,خليل,اخبرنا,وصاحبته,اذنا,بالبيت,الحداد,88,85,8
169,ايديهن,عليهن,سكينا,اكبرنه,راينه,وقطعن,منهن,واتت,وقلن,لهن,88,80,66
170,ويحيي,ويعقوب,معين,حنبل,ويوسف,الذهلي,كاسب,السدوسي,وهارون,الرازي,88,88,4
171,وعطا,والاوزاعي,واسحاق,التابعين,وسعيد,ثور,والثوري,وابن,وعاشه,وداود,88,87,46
172,جهم,ومقاتل,المريسي,يتحدث,امشي,رايان,اصعدوا,افرط,معطل,خبيثان,87,79,56
173,الثقات,حاتم,حبان,ومتين,وذكره,صدوق,ويعقوب,الحضرمي,والهيثم,ومحمد,87,86,8
174,الجزولي,انتهي,الرساله,زروق,ناجي,شرح,والشيخ,المدونه,والجزولي,التوضيح,87,84,9
175,قم,مسسه,الحلي,طهران,للشيخ,النجف,طبع,المطهر,للعلامه,الطبعه,86,63,39
176,ثلثي,السعايه,المعتق,نصيبه,موسرا,بالتدبير,معسرا,الكتابه,سعايه,الاقل,85,79,17
177,الحداد,السمرقندي,نعيم,حبيب,الطيالسي,انبانا,قالا,فارس,نا,الزنجاني,84,83,6
178,صحيحه,الالتقا,واخرجه,والباب,الاستخراج,باب,بنحوه,السابق,فواد,مصنفه,84,50,10
179,نا,انا,الدنيا,رشا,صفوان,نظيف,الاخضر,الحديد,العلاف,جدي,84,83,2
180,وعاش,تابوت,ماه,وعشرين,مصر,وعشر,وسبعا,سنه,عمرهما,مولد,84,76,54
181,واحمد,وعبد,وابراهيم,والحسن,وجعفر,ومحمد,والحسين,ناجيه,وابو,وعبدان,83,83,18
182,وبنيامين,ولاوي,وشمعون,راحيل,ويهوذا,ليا,روبيل,فولدت,ودان,وجاد,82,73,63
183,واحمد,الماكسيني,وعبد,الشيرجي,المقدسي,ومحمد,السلار,وعمر,وابراهيم,المقدسيون,82,75,39
184,وفاه,فاضلا,ومولده,وفيه,مات,الزين,الشيخونيه,القاهري,الحنفي,الجمال,81,80,19
185,النحر,التشريق,المعلومات,المعدودات,ايام,عرفه,العصر,صلاه,يكبر,ويومان,80,75,60
186,زوج,عاشه,انها,اخبرته,الافاضه,عمره,انام,نمرقه,تصاوير,عنها,80,79,15
187,يحل,يعيش,المذبوح,صيدا,الحياه,يكل,حس,صيد,ذكاه,فاصاب,80,73,25
188,وامها,بنت,وامهم,وام,كلثوم,تزوجها,غرير,ام,فولدت,وامه,79,75,25
189,الخمر,عصير,ثلثاه,بالزبد,الزبيب,العنب,حرام,طبخ,الانبذه,ونقيع,79,73,42
190,واسد,وايوب,الجهم,والحسن,الفرات,هان,وسعيد,الزيات,والمقر,مسروق,78,69,9
191,الحلي,العلامه,القسيني,السيد,المطهر,العاملي,المحقق,سديد,الشيخ,الموسوي,78,37,45
192,سمعت,يقول,النون,تمنت,ذا,الجنيد,ابا,وبيضا,فعدلت,وسمعته,78,72,23
193,جزاه,لنفسد,سارقين,جنا,كاذبين,علمتم,رحله,تفقدون,قالوا,صواع,78,66,49
194,السما,بي,صعد,عرج,فاذا,صعدت,الثالثه,الخاله,الرابعه,فوجدت,77,75,59
195,الدارقطني,سالت,حمزه,السهمي,عقده,نصر,ثقه,سمعت,الدينوري,الباغندي,77,75,15
196,لادم,السجود,سجود,سجدا,وخروا,تحيه,وتحيه,سجدوا,كسجود,لله,76,71,60
197,كناه,وكناه,لنا,حدث,سمع,وابا,سكن,ونسبه,عمير,الضبي,76,69,4
198,يكل,الصيد,اكل,اكله,صيد,التعليم,ياكل,الكلب,ميته,يحل,75,69,40
199,يحنث,حنث,حلف,باكل,ياكل,يصطبغ,فاكل,لحما,بروس,اللحم,75,69,30
200,فعليه,دم,لبس,حلق,طيب,الدم,الهوام,اظافير,قص,راسه,75,65,20
201,النجاسه,الما,نجاسه,نجس,ازاله,المستعمل,النجاسات,ينجس,الجنب,النجس,75,67,50
202,سقط,والمثبت,المعقوفتين,الاصل,النسخ,اثبتناه,ساقطه,ساقط,انظر,سقطت,74,72,33
203,البحار,الكتب,الصفحه,الانوار,الكافي,بحار,البرهان,عربي,الهداه,والبحار,74,72,41
204,عوضا,واستقر,استقر,نيابه,الامير,خلع,الخاص,ويستقر,نوبه,باستقراره,74,74,13
205,العاشره,مقبول,التاسعه,صدوق,السادسه,السابعه,ثقه,الحاديه,الثامنه,تمييز,73,58,7
206,الاسرايلي,قينقاع,حليف,الحصين,حليفا,فسماه,الخزرج,سلام,اسمه,اسلم,72,70,57
207,لاقل,سنتين,جات,اشهر,لاكثر,بانقضا,يثبت,بولد,النسب,تقر,72,68,22
208,انظر,المحلي,الصناع,وانظر,شرح,ومختصر,المجموع,المغني,المحتاج,الحنفيه,72,70,39
209,العامر,الموات,حريم,وحريم,ذراعا,احيا,العطن,حريمها,العمران,قرب,72,61,38
210,يضع,حبان,الدارقطني,مرفوعا,دجال,انتهي,الاحتجاج,مجهول,كذاب,منكر,72,68,17
211,مار,يشوع,دهن,بزر,يتاح,ورهين,المتوسل,ودهن,الشلام,بدنو,71,69,42
212,شجاع,منده,الفتح,الواحد,بدرا,صحبه,وشهد,انا,شهد,مته,71,70,1
213,الادمي,ريذه,اسمع,السوانيطي,قراه,باصفهان,الرحمان,سلم,البزاز,قتيبه,70,65,30
214,الرشيد,حفصا,الممنين,امير,فسكت,فضحك,اخبرك,يا,الوابصي,اعطهم,70,66,55
215,بالكسر,بالضم,محدثون,محدث,معرب,وع,وكامير,محركه,وه,كزبير,69,68,14
216,قديد,الاصر,دثنا,لكندي,فتوح,ممد,رفع,عمرمحمد,بوسف,عمروبن,68,61,16
217,وابي,الكوفي,مولاهم,البصري,الهمداني,الراسي,نزيل,المدني,الطنافسي,الواسطي,68,63,2
218,الخبز,وزنا,يجوز,عددا,عددي,السلم,اللحم,يتفاوت,الحنطه,بيع,68,62,15
219,متعبدا,مجتهد,بالاجتهاد,مصيب,والقاضي,المجتهد,لظن,الاجتهاد,قاطع,سريج,68,64,43
220,خويله,الصامت,خوله,اوس,ثعلبه,حنظله,سلام,حدثتني,زوجي,معمر,67,63,55
221,اخبر,بسماعه,باجازته,نا,باجازتها,وجزا,السلفي,سماعا,وبسماع,الحداد,67,63,7
222,نفقه,يفرض,النفقه,يفضل,غنيا,نفقته,زمنا,فقيره,ونفقه,لخادمين,67,64,19
223,تحفه,اتحاف,النبيي,سفيان,عيينه,اركبها,باب,وسلم,عنهما,رسول,66,62,1
224,الصدقه,والمسكين,المتصدق,وتبصر,ينتحلون,يجتعل,الصدقات,الفقير,التطوع,يستقل,66,63,41
225,وعبد,ويحيي,وغندر,وشعبه,ويزيد,وخلق,اقرانه,وسفيان,الازرق,وابن,66,66,21
226,المعقلي,المهراني,الاخرم,سبط,وثلاثماه,الاصم,الزاهد,الحاكم,الحافظ,البنا,66,64,33
227,قميصه,دبر,كيدكن,فكذبت,فصدقت,الكاذبين,الصادقين,واستغفري,لذنبك,الخاطين,66,66,57
228,ودفن,بباب,وحدث,الغد,ببغداد,الخالق,توفي,البغدادي,والعشرين,الشيخ,66,64,3
229,قديد,دثنا,حدثثي,ابوسلمه,ممد,عبدالحكم,العاص,محد,غوث,لهيعه,66,61,17
230,مكاتبته,شريح,وترك,بالتجاعل,الشعبي,سوار,ويستفضل,وصيفين,والسلاح,وليت,66,46,7
231,مخلوق,هشيما,مكرم,سمعت,حدثني,فرده,كافر,يقول,اتخير,الزم,65,59,23
232,لابي,المتوفي,للحافظ,للامام,مطبوع,مسال,انباه,الاستيعاب,معرفه,عبدالبر,65,49,32
233,قبر,تربه,التربه,وبالتربه,وبالحومه,الواقف,الشيخ,اولاد,اولادهم,وبالقرب,65,55,12
234,قومها,مريم,النجار,بعيسي,قلتيهما,فكلمها,حبلي,تحمله,نفاسها,الكنيسه,65,60,37
235,غسان,زماننا,الرصافي,فابوها,الشامي,ايتهن,بصري,رحم,الفسوي,مدني,65,63,50
236,قراه,بقراتي,اسمع,وانا,اجازه,واربعماه,وانبانيه,فاقر,الشيخان,وتسعين,65,55,36
237,طريقين,شيخ,المصري,زريق,صحيحين,البرلسي,الكوفي,واخرجه,اخره,التنيسي,65,64,10
238,المستعان,تصفون,لتقولن,ولكم,فصبر,والله,واني,لاتبين,اجد,السرور,63,63,41
